parameter,frozen_value,grid_points,infeasible_points,grid_min,grid_max,frozen_full_sharpe,best_full_sharpe,best_full_value,full_sharpe_headroom,frozen_is_full_sample_argmax,frozen_full_sharpe_percentile,axis_sharpe_span,plateau_share_within_0.10_sharpe,neighbour_sharpe_drop,best_train_value,test_sharpe_of_train_best,frozen_test_sharpe,selection_gain_out_of_sample,train_test_rank_correlation,shape,note
trend_lookback,252.0,16,0,63.0,504.0,1.5895266624546427,1.5895266624546427,252.0,0.0,True,1.0,0.5576252954692364,0.125,0.2839296833866203,231.0,1.091427161093107,1.2353633553830865,-0.1439361942899795,0.1176470588235294,spike,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_weight,0.5,11,0,0.0,1.0,1.5895266624546427,1.6773533887459866,0.6,0.08782672629134392,False,0.9090909090909091,0.667972781140924,0.18181818181818182,0.10928870677678404,0.6,1.3376813612285376,1.2353633553830865,0.10231800584545114,0.9090909090909091,spike,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_roll_window,252.0,7,0,63.0,504.0,1.5895266624546427,1.5895266624546427,252.0,0.0,True,1.0,0.1540944759888645,0.7142857142857143,0.060944635854628615,189.0,1.1944022846632014,1.2353633553830865,-0.040961070719885084,0.8571428571428573,sloped,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
basis_lookback,252.0,7,0,63.0,504.0,1.5895266624546427,1.5895266624546427,252.0,0.0,True,1.0,0.1540944759888645,0.7142857142857143,0.060944635854628615,189.0,1.1944022846632014,1.2353633553830865,-0.040961070719885084,0.8571428571428573,sloped,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_norm_window,252.0,5,0,126.0,504.0,1.5895266624546427,1.6190060746619332,126.0,0.029479412207290556,False,0.6,0.05033149763873679,1.0,0.017183160317238988,126.0,1.211886857735569,1.2353633553830865,-0.02347649764751747,0.09999999999999999,plateau,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
signal_cap,2.0,6,0,1.0,4.0,1.5895266624546427,1.6178401801551272,1.5,0.028313517700484514,False,0.6666666666666666,0.12725204818261493,0.8333333333333334,0.0020065872069783275,1.0,1.1677326033221724,1.2353633553830865,-0.06763075206091407,0.4285714285714286,plateau,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
vol_span,60.0,7,0,20.0,120.0,1.5895266624546427,1.628613943682329,80.0,0.039087281227686343,False,0.5714285714285714,0.1141760844340245,0.8571428571428571,0.01810665052512972,100.0,1.2405639773621733,1.2353633553830865,0.0052006219790867725,0.7857142857142859,plateau,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
risk_managed_window,63.0,7,0,21.0,252.0,1.5895266624546427,1.6320875950397116,84.0,0.04256093258506888,False,0.14285714285714285,0.04256093258506888,1.0,-0.012578458489620914,84.0,1.2568571361178376,1.2353633553830865,0.021493780734751056,0.1785714285714286,plateau,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
risk_managed_cap,2.0,5,0,1.0,3.0,1.5895266624546427,1.600378706032178,3.0,0.01085204357753522,False,0.6,0.06071684043293901,1.0,0.004538023333363617,3.0,1.2262599261833476,1.2353633553830865,-0.009103429199738944,0.39999999999999997,plateau,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
fast_vol_span,20.0,5,0,10.0,40.0,1.5895266624546427,1.609861468814454,40.0,0.02033480635981122,False,0.2,0.02033480635981122,1.0,-0.011587023460724488,40.0,1.2552517530756895,1.2353633553830865,0.019888397692602977,0.7999999999999999,plateau,"Post-freeze optimality audit, and an explicit search. Unlike robustness_parameter_sensitivity.csv, this file IS a search: it exists to measure what a search could have found, after the configuration was already frozen and published. No row here was used to select any parameter, and no published number depends on this file."
