Comparison,Statistic,Method,Expected block sessions,Samples,Seed,Sessions,Return correlation with incumbent,Tracking error (annualized),Point estimate,Bootstrap standard error,Confidence lower,Confidence upper,Confidence method,Minimum detectable effect (95% one-sided),Selection adjusted,Permitted use
search_best_full_sample_search:0186_vs_frozen,Annualized mean differential,paired stationary block bootstrap; shared index draw,21,4000,20260805,6523,0.9516666820829792,0.024268804149535177,0.001450960186142478,0.004551995900046641,-0.006110389624840869,0.009012309997125826,minimum of percentile and basic bootstrap bounds,0.0074880332555767246,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
search_best_full_sample_search:0186_vs_frozen,Sharpe differential,paired stationary block bootstrap; shared index draw,21,4000,20260805,6523,0.9516666820829792,0.024268804149535177,-0.011321404792771217,0.058889888679122565,-0.11025511290507269,0.08761230331953025,minimum of percentile and basic bootstrap bounds,0.09687386687715661,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
search_best_full_sample_search:0186_vs_frozen,CAGR differential,paired stationary block bootstrap; shared index draw,21,4000,20260805,6523,0.9516666820829792,0.024268804149535177,0.0015054272115793133,0.00512125132521774,-0.007031875543342854,0.01004272996650148,minimum of percentile and basic bootstrap bounds,0.008424458429983182,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
search_best_full_sample_search:0186_vs_frozen,Annualized mean differential,paired stationary block bootstrap; shared index draw,63,4000,20260805,6523,0.9516666820829792,0.024268804149535177,0.001450960186142478,0.00469785038808326,-0.006223585752906805,0.009125506125191762,minimum of percentile and basic bootstrap bounds,0.007727963888396963,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
search_best_full_sample_search:0186_vs_frozen,Sharpe differential,paired stationary block bootstrap; shared index draw,63,4000,20260805,6523,0.9516666820829792,0.024268804149535177,-0.011321404792771217,0.06389944603499913,-0.11651216895325955,0.09386935936771712,minimum of percentile and basic bootstrap bounds,0.10511458872757357,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
search_best_full_sample_search:0186_vs_frozen,CAGR differential,paired stationary block bootstrap; shared index draw,63,4000,20260805,6523,0.9516666820829792,0.024268804149535177,0.0015054272115793133,0.00529399518290312,-0.007135920861543375,0.010146775284702002,minimum of percentile and basic bootstrap bounds,0.008708622075875633,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
search_best_full_sample_search:0186_vs_frozen,Annualized mean differential,paired stationary block bootstrap; shared index draw,126,4000,20260805,6523,0.9516666820829792,0.024268804149535177,0.001450960186142478,0.004568456508709742,-0.006104754768367353,0.009006675140652308,minimum of percentile and basic bootstrap bounds,0.007515110956827526,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
search_best_full_sample_search:0186_vs_frozen,Sharpe differential,paired stationary block bootstrap; shared index draw,126,4000,20260805,6523,0.9516666820829792,0.024268804149535177,-0.011321404792771217,0.0639832700844087,-0.11683669479093833,0.0941938852053959,minimum of percentile and basic bootstrap bounds,0.10525247928885231,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
search_best_full_sample_search:0186_vs_frozen,CAGR differential,paired stationary block bootstrap; shared index draw,126,4000,20260805,6523,0.9516666820829792,0.024268804149535177,0.0015054272115793133,0.005161472646039634,-0.006970391409016874,0.0099812458321755,minimum of percentile and basic bootstrap bounds,0.008490622502735199,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
candidate:ensemble_126_252_504_vs_frozen,Annualized mean differential,paired stationary block bootstrap; shared index draw,21,4000,20260805,6523,0.8980521829552759,0.03483625257780844,-0.011849684975466315,0.006949025017408617,-0.02322304861528918,-0.00047632133564344883,minimum of percentile and basic bootstrap bounds,0.011431146153637176,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
