lineage_id,mode,fold,boundary,test_start,test_end,calendar_year,sessions,cumulative_sessions,cumulative_calendar_years,training_sessions,selection_window_start,selection_window_end,selection_sessions,selection_standard_error_of_annualized_sharpe,purge_sessions,embargo_sessions,universe_members,selected_candidate,selection_score_annualized_sharpe,selection_switched,fold_cagr,fold_annualized_volatility,fold_sharpe,fold_hac_sharpe,fold_max_drawdown,fold_hit_rate,fold_annual_one_way_turnover,fold_annual_cost_drag,oos_basis,hac_convention,selection_adjusted,permitted_use,panel_limitation
etf_regime_allocation_v1,anchored_expanding_walk_forward,0,2009-01-02,2009-01-02,2009-12-31,2009,252,252,1,732,2006-02-06,2008-10-28,688,0.6052099385894467,23,21,11,faber_trend_inverse_volatility,0.6769727514524337,True,0.053043348678220664,0.06841831152855517,0.7891667018834252,0.8574427934851269,-0.06183003485102356,0.5158730158730159,3.152492298372951,0.0013211639046820697,selector_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"chronological replay on the ETF panel; out of sample with respect to the selector only, and not with respect to specification choices already informed by this panel",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation_v1,anchored_expanding_walk_forward,1,2010-01-04,2010-01-04,2010-12-31,2010,252,504,2,984,2006-02-06,2009-10-28,940,0.5177693563576148,23,21,11,faber_trend_inverse_volatility,0.9534048244028254,False,0.08688363091783098,0.0641303453384466,1.3305650486127827,1.592209334391137,-0.037060435484885135,0.5674603174603174,2.264759468598011,0.0009153131022939998,selector_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"chronological replay on the ETF panel; out of sample with respect to the selector only, and not with respect to specification choices already informed by this panel",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation_v1,anchored_expanding_walk_forward,2,2011-01-03,2011-01-03,2011-12-30,2011,252,756,3,1236,2006-02-06,2010-10-28,1192,0.4597927750336605,23,21,11,faber_trend_inverse_volatility,1.1010867625956318,False,0.04075044613562258,0.06875892552272027,0.6133608777565352,0.8598842307197951,-0.05408284183997736,0.5833333333333334,2.596045915831355,0.0010653612301824533,selector_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"chronological replay on the ETF panel; out of sample with respect to the selector only, and not with respect to specification choices already informed by this panel",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation_v1,anchored_expanding_walk_forward,3,2012-01-03,2012-01-03,2012-12-31,2012,250,1006,4,1488,2006-02-06,2011-10-27,1444,0.4177502070101985,23,21,11,faber_trend_inverse_volatility,1.0042745273910727,False,0.051601573555094406,0.03823155326366087,1.3522067621276623,1.4089182508246325,-0.027132384043341395,0.56,1.2122239817275233,0.000461965979206228,selector_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"chronological replay on the ETF panel; out of sample with respect to the selector only, and not with respect to specification choices already informed by this panel",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation_v1,anchored_expanding_walk_forward,4,2013-01-02,2013-01-02,2013-12-31,2013,252,1258,5,1738,2006-02-06,2012-10-24,1694,0.38569460791993504,23,21,11,faber_trend_inverse_volatility,1.0040081906275278,False,0.022123309815659,0.046453920237199714,0.49402183970125946,0.4815405322562621,-0.059879485045738146,0.5595238095238095,2.2214546756899707,0.0009058908478505397,selector_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"chronological replay on the ETF panel; out of sample with respect to the selector only, and not with respect to specification choices already informed by this panel",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation_v1,anchored_expanding_walk_forward,5,2014-01-02,2014-01-02,2014-12-31,2014,252,1510,6,1990,2006-02-06,2013-10-28,1946,0.3598560863424403,23,21,11,momentum_inverse_volatility,0.9757408518506451,True,0.04757679085967538,0.03902070127668389,1.2099971113495158,1.4552998664699082,-0.02732518500925374,0.5873015873015873,1.5568872593887693,0.0006186066119329911,sealed_custody_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"one look at a contiguous block held out of the development replay, proven by a byte-identical custody replay; the annual selector still fits inside the block, and the universe rule, candidate set, cost model, risk budget and boundary schedule were all written after the whole panel had been read; out of sample with respect to everything sealed at registration time, conditional on custody holding, and not a prospective track record",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation_v1,anchored_expanding_walk_forward,6,2015-01-02,2015-01-02,2015-12-31,2015,252,1762,7,2242,2006-02-06,2014-10-28,2198,0.3385995887898602,23,21,11,faber_trend_inverse_volatility,0.9759646803541194,True,-0.03434463882757052,0.04573099171099131,-0.7407701000680051,-0.8615542819006491,-0.061746826433882296,0.49206349206349204,2.609230933230349,0.0010459093981028233,sealed_custody_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"one look at a contiguous block held out of the development replay, proven by a byte-identical custody replay; the annual selector still fits inside the block, and the universe rule, candidate set, cost model, risk budget and boundary schedule were all written after the whole panel had been read; out of sample with respect to everything sealed at registration time, conditional on custody holding, and not a prospective track record",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation_v1,anchored_expanding_walk_forward,7,2016-01-04,2016-01-04,2016-12-30,2016,252,2014,8,2494,2006-02-06,2015-10-28,2450,0.32071349029490925,23,21,11,momentum_inverse_volatility,0.8980581838763557,True,0.022012467807833006,0.043062772932651774,0.526874901475688,0.5121313805948379,-0.05605191519655128,0.5238095238095238,1.412312348135921,0.0005330981134824323,sealed_custody_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"one look at a contiguous block held out of the development replay, proven by a byte-identical custody replay; the annual selector still fits inside the block, and the universe rule, candidate set, cost model, risk budget and boundary schedule were all written after the whole panel had been read; out of sample with respect to everything sealed at registration time, conditional on custody holding, and not a prospective track record",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation_v1,anchored_expanding_walk_forward,8,2017-01-03,2017-01-03,2017-12-29,2017,251,2265,9,2746,2006-02-06,2016-10-27,2702,0.30539195913557254,23,21,11,momentum_inverse_volatility,0.8651396763589966,False,0.09511620906939261,0.03323267023693578,2.7527279000657745,4.635107055495211,-0.017492222262990187,0.601593625498008,1.7286503246520029,0.0006809127990248589,sealed_custody_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"one look at a contiguous block held out of the development replay, proven by a byte-identical custody replay; the annual selector still fits inside the block, and the universe rule, candidate set, cost model, risk budget and boundary schedule were all written after the whole panel had been read; out of sample with respect to everything sealed at registration time, conditional on custody holding, and not a prospective track record",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
etf_regime_allocation_v1,anchored_expanding_walk_forward,9,2018-01-02,2018-01-02,2018-12-31,2018,251,2516,10,2997,2006-02-06,2017-10-26,2953,0.2921248799386552,23,21,11,momentum_inverse_volatility,0.8984647545545253,False,-0.043547056249029006,0.051566454588691246,-0.8451212327904641,-1.1244730264437257,-0.07465823436789731,0.5179282868525896,1.8360236215338783,0.0007051796761870574,sealed_custody_out_of_sample,"inference.hac_standard_error; Bartlett kernel, 1/n scaling",False,"one look at a contiguous block held out of the development replay, proven by a byte-identical custody replay; the annual selector still fits inside the block, and the universe rule, candidate set, cost model, risk budget and boundary schedule were all written after the whole panel had been read; out of sample with respect to everything sealed at registration time, conditional on custody holding, and not a prospective track record",survivors_only_universe; all_745_panel_files_end_2018-12-31_with_positive_volume; no_closed_or_delisted_etf_is_present; exposure_limited_by_allocation_across_a_fixed_set_of_large_broad_index_funds_rather_than_cross_sectional_selection; sealed_block_contains_no_full_equity_bear_market; the_daniel_moskowitz_bear_and_panic_states_are_unoccupied_across_it; full_equity_bear_conditional_performance_is_not_estimable_out_of_sample; fully_funded_long_only_unlevered_book; cash_is_the_short_duration_treasury_sleeve_and_carries_duration; no_risk_free_series_and_no_financing_series_exists_in_this_panel; costs_are_a_pre_declared_assumption_and_not_a_calibration; one_half_spread_and_one_commission_in_basis_points_for_every_sleeve; liquidity_is_differentiated_only_through_the_square_root_participation_term
