Comparison,Statistic,Method,Expected block sessions,Samples,Seed,Sessions,Return correlation with incumbent,Tracking error (annualized),Point estimate,Bootstrap standard error,Confidence lower,Confidence upper,Confidence method,Minimum detectable effect (95% one-sided),Selection adjusted,Permitted use
risk_budget_0.075_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,21,5000,20260805,6523,0.9959492554944603,0.009229462424682833,0.009641090417631486,0.0019099540930387186,0.006499819054722518,0.012782361780540454,minimum of percentile and basic bootstrap bounds,0.003141874483048692,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.075_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,21,5000,20260805,6523,0.9959492554944603,0.009229462424682833,0.0054832451665178805,0.017879834020396935,-0.02427798099682746,0.03524447132986322,minimum of percentile and basic bootstrap bounds,0.02941232696355296,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.075_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,21,5000,20260805,6523,0.9959492554944603,0.009229462424682833,0.010388028336566435,0.002282326149302641,0.006576239410589473,0.014199817262543397,minimum of percentile and basic bootstrap bounds,0.0037544265156028442,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.075_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,63,5000,20260805,6523,0.9959492554944603,0.009229462424682833,0.009641090417631486,0.001822528151806908,0.006619314436829546,0.012662866398433427,minimum of percentile and basic bootstrap bounds,0.002998058809722364,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.075_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,63,5000,20260805,6523,0.9959492554944603,0.009229462424682833,0.0054832451665178805,0.017010233274833045,-0.022969548844811234,0.033936039177846995,minimum of percentile and basic bootstrap bounds,0.027981833737100358,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.075_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,63,5000,20260805,6523,0.9959492554944603,0.009229462424682833,0.010388028336566435,0.002182307017427962,0.006698575588543273,0.014077481084589597,minimum of percentile and basic bootstrap bounds,0.0035898950436689973,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.075_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,126,5000,20260805,6523,0.9959492554944603,0.009229462424682833,0.009641090417631486,0.0017245315667559111,0.006816041821987017,0.012466139013275956,minimum of percentile and basic bootstrap bounds,0.002836854427313474,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.075_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,126,5000,20260805,6523,0.9959492554944603,0.009229462424682833,0.0054832451665178805,0.0166593627278642,-0.02232604780890455,0.03329253814194031,minimum of percentile and basic bootstrap bounds,0.02740465168733661,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.075_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,126,5000,20260805,6523,0.9959492554944603,0.009229462424682833,0.010388028336566435,0.0020578357790970174,0.006995114890668718,0.013780941782464152,minimum of percentile and basic bootstrap bounds,0.0033851398566145936,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.08_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,21,5000,20260805,6523,0.9939085965201652,0.014620771283009568,0.019204251999791054,0.0030042288272629485,0.014221492399528125,0.024187011600053984,minimum of percentile and basic bootstrap bounds,0.00494195642084755,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.08_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,21,5000,20260805,6523,0.9939085965201652,0.014620771283009568,0.01169394474686647,0.021128509935822267,-0.022799163153253414,0.04618705264698635,minimum of percentile and basic bootstrap bounds,0.03475639884442763,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.08_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,21,5000,20260805,6523,0.9939085965201652,0.014620771283009568,0.02075729716480207,0.0037075618046873856,0.01443088114809972,0.027083713181504418,minimum of percentile and basic bootstrap bounds,0.00609893916871075,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.08_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,63,5000,20260805,6523,0.9939085965201652,0.014620771283009568,0.019204251999791054,0.0029186619445168405,0.014411458380113,0.02399704561946911,minimum of percentile and basic bootstrap bounds,0.004801198898730203,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.08_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,63,5000,20260805,6523,0.9939085965201652,0.014620771283009568,0.01169394474686647,0.019370843649369748,-0.0201088704734277,0.04349675996716064,minimum of percentile and basic bootstrap bounds,0.03186503780321324,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.08_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,63,5000,20260805,6523,0.9939085965201652,0.014620771283009568,0.02075729716480207,0.0036029911920632514,0.014741773174769358,0.02677282115483478,minimum of percentile and basic bootstrap bounds,0.005926920510944049,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.08_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,126,5000,20260805,6523,0.9939085965201652,0.014620771283009568,0.019204251999791054,0.0028061954753134735,0.014627385529676629,0.02378111846990548,minimum of percentile and basic bootstrap bounds,0.004616191556890664,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.08_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,126,5000,20260805,6523,0.9939085965201652,0.014620771283009568,0.01169394474686647,0.01853288984743213,-0.01912312985339791,0.04251101934713085,minimum of percentile and basic bootstrap bounds,0.030486603799025857,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.08_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,126,5000,20260805,6523,0.9939085965201652,0.014620771283009568,0.02075729716480207,0.0034643826453025672,0.0149757377488819,0.026538856580722237,minimum of percentile and basic bootstrap bounds,0.005698909451522723,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.085_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,21,5000,20260805,6523,0.991599049445345,0.019938177120928855,0.027412354138344565,0.004207360810666336,0.020461994575110498,0.03436271370157863,minimum of percentile and basic bootstrap bounds,0.0069211085335461235,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.085_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,21,5000,20260805,6523,0.991599049445345,0.019938177120928855,0.010595731958420007,0.025502089921314135,-0.032037644599108184,0.0532291085159482,minimum of percentile and basic bootstrap bounds,0.04195093792056175,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.085_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,21,5000,20260805,6523,0.991599049445345,0.019938177120928855,0.029666278921812256,0.005251546984354895,0.020743537877207223,0.03858901996641729,minimum of percentile and basic bootstrap bounds,0.008638794789263802,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.085_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,63,5000,20260805,6523,0.991599049445345,0.019938177120928855,0.027412354138344565,0.003919249130660476,0.020869663207273022,0.03395504506941611,minimum of percentile and basic bootstrap bounds,0.006447164819936483,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.085_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,63,5000,20260805,6523,0.991599049445345,0.019938177120928855,0.010595731958420007,0.02456684859964126,-0.03100455152207412,0.05219601543891413,minimum of percentile and basic bootstrap bounds,0.04041246594640987,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.085_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,63,5000,20260805,6523,0.991599049445345,0.019938177120928855,0.029666278921812256,0.004890027640676971,0.021583572080063784,0.03774898576356073,minimum of percentile and basic bootstrap bounds,0.008044095468913617,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.085_vs_baseline,Annualized mean differential,paired stationary block bootstrap; shared index draw,126,5000,20260805,6523,0.991599049445345,0.019938177120928855,0.027412354138344565,0.003525350480555056,0.02161952459572607,0.03320518368096306,minimum of percentile and basic bootstrap bounds,0.005799201540513067,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.085_vs_baseline,Sharpe differential,paired stationary block bootstrap; shared index draw,126,5000,20260805,6523,0.991599049445345,0.019938177120928855,0.010595731958420007,0.024510753927525986,-0.030453775122172688,0.051645239039012705,minimum of percentile and basic bootstrap bounds,0.040320190210780246,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
risk_budget_0.085_vs_baseline,CAGR differential,paired stationary block bootstrap; shared index draw,126,5000,20260805,6523,0.991599049445345,0.019938177120928855,0.029666278921812256,0.004395844293664132,0.022423319848646497,0.036909237994978014,minimum of percentile and basic bootstrap bounds,0.007231163863077498,False,sampling uncertainty of a paired differential on reused history; not selection adjusted and does not license promotion
